Led Number,Front Profile
0,"(235, 90)"
1,"(234, 90)"
2,"(234, 90)"
3,"(209, 36)"
4,"(210, 32)"
5,"(227, 31)"
6,"(240, 0)"
7,"(227, 33)"
8,"(201, 8)"
9,"(209, 33)"
10,"(227, 32)"
11,"(227, 33)"
12,"(157, 61)"
13,"(212, 104)"
14,"(158, 60)"
15,"(176, 32)"
16,"(162, 47)"
17,"(166, 156)"
18,"(156, 61)"
19,"(159, 60)"
20,"(92, 90)"
21,"(102, 149)"
22,"(93, 92)"
23,"(88, 159)"
24,"(42, 136)"
25,"(46, 113)"
26,"(26, 116)"
27,"(0, 105)"
28,"(25, 112)"
29,"(9, 122)"
30,"(93, 91)"
31,"(85, 135)"
32,"(97, 113)"
33,"(111, 69)"
34,"(119, 49)"
35,"(141, 114)"
36,"(93, 91)"
37,"(41, 129)"
38,"(93, 91)"
39,"(40, 104)"
40,"(102, 155)"
41,"(103, 143)"
42,"(151, 104)"
43,"(147, 101)"
44,"(154, 107)"
45,"(148, 96)"
46,"(154, 107)"
47,"(148, 97)"
48,"(154, 119)"
49,"(183, 64)"
50,"(120, 126)"
51,"(156, 141)"
52,"(178, 93)"
53,"(212, 104)"
54,"(195, 154)"
55,"(209, 149)"
56,"(197, 154)"
57,"(211, 141)"
58,"(234, 90)"
59,"(200, 76)"
60,"(245, 38)"
61,"(200, 83)"
62,"(259, 107)"
63,"(212, 104)"
64,"(217, 161)"
65,"(211, 100)"
66,"(281, 97)"
67,"(225, 108)"
68,"(250, 160)"
69,"(210, 63)"
70,"(234, 90)"
71,"(307, 155)"
72,"(307, 155)"
73,"(297, 86)"
74,"(314, 83)"
75,"(320, 92)"
76,"(300, 155)"
77,"(296, 77)"
78,"(350, 119)"
79,"(348, 114)"
80,"(356, 112)"
81,"(349, 121)"
82,"(348, 123)"
83,"(299, 155)"
84,"(347, 113)"
85,"(295, 75)"
86,"(303, 74)"
87,"(347, 113)"
88,"(307, 155)"
89,"(296, 76)"
90,"(279, 79)"
91,"(269, 82)"
92,"(259, 87)"
93,"(249, 90)"
94,"(234, 69)"
95,"(192, 26)"
96,"(232, 69)"
97,"(255, 49)"
98,"(248, 54)"
99,"(249, 69)"
